trial,seed,S,mask,strategy,csr_ports,decode_lat,beta,page,txns_per_cycle,completed,dead,cls_mean,n_DMC,n_bank,repair_done,hypothesis
0,20260903,512B,full-good,minimax,4,1,dmc,close,3.538462,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,n=40,skip-dead,1,2,zero,open,0.500000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,n=40,skip-dead,1,2,zero,close,0.500000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,n=40,skip-dead,1,2,dmc,open,0.500000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,n=40,skip-dead,1,2,dmc,close,0.500000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,n=40,skip-dead,1,1,zero,open,1.000000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,n=40,skip-dead,1,1,zero,close,1.000000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,n=40,skip-dead,1,1,dmc,open,1.000000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,n=40,skip-dead,1,1,dmc,close,1.000000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,n=40,skip-dead,4,2,zero,open,2.000000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,n=40,skip-dead,4,2,zero,close,2.000000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,n=40,skip-dead,4,2,dmc,open,2.000000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,n=40,skip-dead,4,2,dmc,close,2.000000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,n=40,skip-dead,4,1,zero,open,3.538462,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,n=40,skip-dead,4,1,zero,close,3.538462,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,n=40,skip-dead,4,1,dmc,open,3.538462,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,n=40,skip-dead,4,1,dmc,close,3.538462,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,n=40,modn-a1,1,2,zero,open,0.500000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,n=40,modn-a1,1,2,zero,close,0.500000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,n=40,modn-a1,1,2,dmc,open,0.500000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,n=40,modn-a1,1,2,dmc,close,0.500000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,n=40,modn-a1,1,1,zero,open,1.000000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,n=40,modn-a1,1,1,zero,close,1.000000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,n=40,modn-a1,1,1,dmc,open,1.000000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,n=40,modn-a1,1,1,dmc,close,1.000000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,n=40,modn-a1,4,2,zero,open,2.000000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,n=40,modn-a1,4,2,zero,close,2.000000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,n=40,modn-a1,4,2,dmc,open,2.000000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,n=40,modn-a1,4,2,dmc,close,2.000000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,n=40,modn-a1,4,1,zero,open,3.538462,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,n=40,modn-a1,4,1,zero,close,3.538462,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,n=40,modn-a1,4,1,dmc,open,3.538462,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,n=40,modn-a1,4,1,dmc,close,3.538462,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,n=40,minimax,1,2,zero,open,0.500000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,n=40,minimax,1,2,zero,close,0.500000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,n=40,minimax,1,2,dmc,open,0.500000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,n=40,minimax,1,2,dmc,close,0.500000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,n=40,minimax,1,1,zero,open,1.000000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,n=40,minimax,1,1,zero,close,1.000000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,n=40,minimax,1,1,dmc,open,1.000000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,n=40,minimax,1,1,dmc,close,1.000000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,n=40,minimax,4,2,zero,open,2.000000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,n=40,minimax,4,2,zero,close,2.000000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,n=40,minimax,4,2,dmc,open,2.000000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,n=40,minimax,4,2,dmc,close,2.000000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,n=40,minimax,4,1,zero,open,3.538462,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,n=40,minimax,4,1,zero,close,3.538462,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,n=40,minimax,4,1,dmc,open,3.538462,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,n=40,minimax,4,1,dmc,close,3.538462,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,3-biased(n=32),skip-dead,1,2,zero,open,0.500000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,3-biased(n=32),skip-dead,1,2,zero,close,0.500000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,3-biased(n=32),skip-dead,1,2,dmc,open,0.500000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,3-biased(n=32),skip-dead,1,2,dmc,close,0.500000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,3-biased(n=32),skip-dead,1,1,zero,open,1.000000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,3-biased(n=32),skip-dead,1,1,zero,close,1.000000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,3-biased(n=32),skip-dead,1,1,dmc,open,1.000000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,3-biased(n=32),skip-dead,1,1,dmc,close,1.000000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,3-biased(n=32),skip-dead,4,2,zero,open,2.000000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,3-biased(n=32),skip-dead,4,2,zero,close,2.000000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,3-biased(n=32),skip-dead,4,2,dmc,open,2.000000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,3-biased(n=32),skip-dead,4,2,dmc,close,2.000000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,3-biased(n=32),skip-dead,4,1,zero,open,3.538462,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,3-biased(n=32),skip-dead,4,1,zero,close,3.538462,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,3-biased(n=32),skip-dead,4,1,dmc,open,3.538462,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,3-biased(n=32),skip-dead,4,1,dmc,close,3.538462,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,3-biased(n=32),modn-a1,1,2,zero,open,0.500000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,3-biased(n=32),modn-a1,1,2,zero,close,0.500000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,3-biased(n=32),modn-a1,1,2,dmc,open,0.500000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,3-biased(n=32),modn-a1,1,2,dmc,close,0.500000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,3-biased(n=32),modn-a1,1,1,zero,open,1.000000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,3-biased(n=32),modn-a1,1,1,zero,close,1.000000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,3-biased(n=32),modn-a1,1,1,dmc,open,1.000000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,3-biased(n=32),modn-a1,1,1,dmc,close,1.000000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,3-biased(n=32),modn-a1,4,2,zero,open,2.000000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,3-biased(n=32),modn-a1,4,2,zero,close,2.000000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,3-biased(n=32),modn-a1,4,2,dmc,open,2.000000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,3-biased(n=32),modn-a1,4,2,dmc,close,2.000000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,3-biased(n=32),modn-a1,4,1,zero,open,3.538462,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,3-biased(n=32),modn-a1,4,1,zero,close,3.538462,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,3-biased(n=32),modn-a1,4,1,dmc,open,3.538462,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,3-biased(n=32),modn-a1,4,1,dmc,close,3.538462,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,3-biased(n=32),minimax,1,2,zero,open,0.500000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,3-biased(n=32),minimax,1,2,zero,close,0.500000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,3-biased(n=32),minimax,1,2,dmc,open,0.500000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,3-biased(n=32),minimax,1,2,dmc,close,0.500000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,3-biased(n=32),minimax,1,1,zero,open,1.000000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,3-biased(n=32),minimax,1,1,zero,close,1.000000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,3-biased(n=32),minimax,1,1,dmc,open,1.000000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,3-biased(n=32),minimax,1,1,dmc,close,1.000000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,3-biased(n=32),minimax,4,2,zero,open,2.000000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,3-biased(n=32),minimax,4,2,zero,close,2.000000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,3-biased(n=32),minimax,4,2,dmc,open,2.000000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,3-biased(n=32),minimax,4,2,dmc,close,2.000000,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,3-biased(n=32),minimax,4,1,zero,open,3.538462,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,3-biased(n=32),minimax,4,1,zero,close,3.538462,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,3-biased(n=32),minimax,4,1,dmc,open,3.538462,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,512B,3-biased(n=32),minimax,4,1,dmc,close,3.538462,512,0,1.3333,384,512,True,H-DRAM-BB
0,20260903,3x512B,full-good,skip-dead,1,2,zero,open,0.500000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,full-good,skip-dead,1,2,zero,close,0.500000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,full-good,skip-dead,1,2,dmc,open,0.500000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,full-good,skip-dead,1,2,dmc,close,0.500000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,full-good,skip-dead,1,1,zero,open,1.000000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,full-good,skip-dead,1,1,zero,close,1.000000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,full-good,skip-dead,1,1,dmc,open,1.000000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,full-good,skip-dead,1,1,dmc,close,1.000000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,full-good,skip-dead,4,2,zero,open,2.000000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,full-good,skip-dead,4,2,zero,close,2.000000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,full-good,skip-dead,4,2,dmc,open,2.000000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,full-good,skip-dead,4,2,dmc,close,2.000000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,full-good,skip-dead,4,1,zero,open,3.538462,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,full-good,skip-dead,4,1,zero,close,3.538462,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,full-good,skip-dead,4,1,dmc,open,3.538462,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,full-good,skip-dead,4,1,dmc,close,3.538462,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,full-good,modn-a1,1,2,zero,open,0.500000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,full-good,modn-a1,1,2,zero,close,0.500000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,full-good,modn-a1,1,2,dmc,open,0.500000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,full-good,modn-a1,1,2,dmc,close,0.500000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,full-good,modn-a1,1,1,zero,open,1.000000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,full-good,modn-a1,1,1,zero,close,1.000000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,full-good,modn-a1,1,1,dmc,open,1.000000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,full-good,modn-a1,1,1,dmc,close,1.000000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,full-good,modn-a1,4,2,zero,open,2.000000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,full-good,modn-a1,4,2,zero,close,2.000000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,full-good,modn-a1,4,2,dmc,open,2.000000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,full-good,modn-a1,4,2,dmc,close,2.000000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,full-good,modn-a1,4,1,zero,open,3.538462,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,full-good,modn-a1,4,1,zero,close,3.538462,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,full-good,modn-a1,4,1,dmc,open,3.538462,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,full-good,modn-a1,4,1,dmc,close,3.538462,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,full-good,minimax,1,2,zero,open,0.500000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,full-good,minimax,1,2,zero,close,0.500000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,full-good,minimax,1,2,dmc,open,0.500000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,full-good,minimax,1,2,dmc,close,0.500000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,full-good,minimax,1,1,zero,open,1.000000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,full-good,minimax,1,1,zero,close,1.000000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,full-good,minimax,1,1,dmc,open,1.000000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,full-good,minimax,1,1,dmc,close,1.000000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,full-good,minimax,4,2,zero,open,2.000000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,full-good,minimax,4,2,zero,close,2.000000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,full-good,minimax,4,2,dmc,open,2.000000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,full-good,minimax,4,2,dmc,close,2.000000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,full-good,minimax,4,1,zero,open,3.538462,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,full-good,minimax,4,1,zero,close,3.538462,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,full-good,minimax,4,1,dmc,open,3.538462,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,full-good,minimax,4,1,dmc,close,3.538462,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,n=40,skip-dead,1,2,zero,open,0.500000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,n=40,skip-dead,1,2,zero,close,0.500000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,n=40,skip-dead,1,2,dmc,open,0.500000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,n=40,skip-dead,1,2,dmc,close,0.500000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,n=40,skip-dead,1,1,zero,open,1.000000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,n=40,skip-dead,1,1,zero,close,1.000000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,n=40,skip-dead,1,1,dmc,open,1.000000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,n=40,skip-dead,1,1,dmc,close,1.000000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,n=40,skip-dead,4,2,zero,open,2.000000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,n=40,skip-dead,4,2,zero,close,2.000000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,n=40,skip-dead,4,2,dmc,open,2.000000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,n=40,skip-dead,4,2,dmc,close,2.000000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,n=40,skip-dead,4,1,zero,open,3.538462,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,n=40,skip-dead,4,1,zero,close,3.538462,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,n=40,skip-dead,4,1,dmc,open,3.538462,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,n=40,skip-dead,4,1,dmc,close,3.538462,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,n=40,modn-a1,1,2,zero,open,0.500000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,n=40,modn-a1,1,2,zero,close,0.500000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,n=40,modn-a1,1,2,dmc,open,0.500000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,n=40,modn-a1,1,2,dmc,close,0.500000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,n=40,modn-a1,1,1,zero,open,1.000000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,n=40,modn-a1,1,1,zero,close,1.000000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,n=40,modn-a1,1,1,dmc,open,1.000000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,n=40,modn-a1,1,1,dmc,close,1.000000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,n=40,modn-a1,4,2,zero,open,2.000000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,n=40,modn-a1,4,2,zero,close,2.000000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,n=40,modn-a1,4,2,dmc,open,2.000000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,n=40,modn-a1,4,2,dmc,close,2.000000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,n=40,modn-a1,4,1,zero,open,3.538462,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,n=40,modn-a1,4,1,zero,close,3.538462,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,n=40,modn-a1,4,1,dmc,open,3.538462,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,n=40,modn-a1,4,1,dmc,close,3.538462,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,n=40,minimax,1,2,zero,open,0.500000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,n=40,minimax,1,2,zero,close,0.500000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,n=40,minimax,1,2,dmc,open,0.500000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,n=40,minimax,1,2,dmc,close,0.500000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,n=40,minimax,1,1,zero,open,1.000000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,n=40,minimax,1,1,zero,close,1.000000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,n=40,minimax,1,1,dmc,open,1.000000,512,0,2.0000,256,512,True,H-DRAM-BB
0,20260903,3x512B,n=40,minimax,1,1,dmc,close,1.000000,512,0,2.0000,256,512,True,H-DRAM-BB
